feature,importance
dist_to_road,2989
roads_ratio_100m,1980
dist_to_park,1788
tree_avg_diam_200m,1711
tree_avg_diam_300m,1540
tree_count_200m,1421
roads_ratio_250m,1384
tree_count_100m,1374
tree_avg_diam_500m,1320
tree_count_300m,1177
building_count_500m,1143
ped_cycle_count_200m,1137
building_count_400m,1117
tree_avg_diam_750m,1117
roads_ratio_500m,1104
dist_to_water,1060
building_count_300m,1017
parks_weighted_score,993
building_count_750m,975
parks_ratio_250m,963
tree_count_500m,953
building_count_1000m,939
ped_cycle_count_500m,925
Average_Building_Height_400m,888
tree_avg_diam_1000m,848
sum_net_emissions_mtco2e_500m,808
tree_count_750m,795
Average_Building_Height_500m,790
parks_ratio_500m,725
roads_ratio_1000m,717
tree_count_1000m,692
sum_weather_normalized_site_electricity_(kwh)_500m,675
parking_area_ratio_1000m,659
road_minor_ratio_200m,656
road_major_ratio_200m,649
sum_weather_normalized_site_energy_use_(kbtu)_500m,642
transit_count_1000m,641
landuse_residential_ratio_500m,598
Average_Building_Height_750m,593
landuse_grass_ratio_1000m,572
ped_cycle_count_1000m,561
parks_ratio_1000m,550
parks_ratio_100m,516
landuse_grass_ratio_200m,514
sum_weather_normalized_site_energy_use_(kbtu)_1000m,507
sum_net_emissions_mtco2e_1000m,503
landuse_residential_ratio_1000m,502
landuse_grass_ratio_500m,496
road_minor_ratio_100m,490
sum_weather_normalized_site_electricity_(kwh)_1000m,474
Average_Building_Height_1000m,474
transit_count_500m,470
Income_1000m,464
road_major_ratio_1000m,455
road_major_ratio_100m,449
water_ratio_1000m,406
weighted_water_score,406
Width,368
water_ratio_500m,353
tower_count_500m,337
tower_count_1000m,330
Income_500m,325
transit_count_200m,256
median_income,253
Income_300m,253
Tallest_Building_200m_HEIGHT,249
power_density,235
Tallest_Building_300m_HEIGHT,218
tower_count_200m,198
Rating_B,191
2021_07_24_00_00_2021_07_24_23_59_Sentinel_3_SLSTR_S4_(Raw),169
Tallest_Building_400m_HEIGHT,165
population_density,159
Tallest_Building_500m_HEIGHT,148
landuse_forest_ratio_1000m,147
_MaxTemp_ 6,135
poverty_count,126
under_18,125
Tallest_Building_750m_HEIGHT,119
_UHI_ 6,114
unemployed,111
high_school_grad,110
_MinTemp_ 6,110
2021_07_24_00_00_2021_07_24_23_59_Sentinel_3_SLSTR_S2_Reflectance_,107
landuse_commercial_ratio_1000m,106
black_alone,104
2021_07_24_00_00_2021_07_24_23_59_Sentinel_3_SLSTR_S5_Reflectance_,96
over_65,92
bachelor_degree,92
total_population,85
Tallest_Building_1000m_HEIGHT,83
foreign_born,78
2021_07_24_00_00_2021_07_24_23_59_Sentinel_3_SLSTR_F2_Brightness_Temperature,78
2021_07_24_00_00_2021_07_24_23_59_Sentinel_3_SLSTR_F1_Brightness_Temperature,74
2021_07_24_00_00_2021_07_24_23_59_Sentinel_3_SLSTR_S7_(Raw),62
labor_force,59
housing_units,56
2021_07_24_00_00_2021_07_24_23_59_Sentinel_3_SLSTR_F1_(Raw),46
2021_07_24_00_00_2021_07_24_23_59_Sentinel_3_SLSTR_S8_(Raw),44
2021_07_24_00_00_2021_07_24_23_59_Sentinel_3_SLSTR_S7_Brightness_Temperature_,41
Nitrogen dioxide (NO2),37
nclimgrid_band1,35
occupied_units,33
nclimgrid_band2,30
Ozone (O3),30
2021_07_24_00_00_2021_07_24_23_59_Sentinel_3_SLSTR_S9_(Raw),29
nclimgrid_band3,27
2021_07_24_00_00_2021_07_24_23_59_Sentinel_3_SLSTR_S8_Brightness_Temperature_,26
Fine particles (PM 2.5),22
pm2.5_std_JJA,20
disability,19
2021_07_24_00_00_2021_07_24_23_59_Sentinel_3_SLSTR_S9_Brightness_Temperature_,18
Traffic_Volume_Avg,15
pm2.5_p75_JJA,12
pm2.5_avg_JJA,12
2021_07_24_00_00_2021_07_24_23_59_Sentinel_3_SLSTR_F2_(Raw),12
nclimgrid_band4,11
vehicle_ownership,10
Traffic_Volume_min,10
pm2.5_val_21Jul2021,8
Traffic_Volume_max,5
Traffic_Volume_med,3
