feature,importance
Traffic_Volume_med,0.2966804
Traffic_Volume_min,0.09154088
disability,0.085064836
Income_1000m,0.03483135
Fine particles (PM 2.5),0.029917419
_MaxTemp_ 6,0.025001504
total_population,0.023910513
pm2.5_std_JJA,0.021132266
pm2.5_avg_JJA,0.020670658
2021_07_24_00_00_2021_07_24_23_59_Sentinel_3_SLSTR_S9_(Raw),0.020503981
2021_07_24_00_00_2021_07_24_23_59_Sentinel_3_SLSTR_S9_Brightness_Temperature_,0.01909428
Nitrogen dioxide (NO2),0.018035842
2021_07_24_00_00_2021_07_24_23_59_Sentinel_3_SLSTR_S8_Brightness_Temperature_,0.015644208
Ozone (O3),0.015209442
2021_07_24_00_00_2021_07_24_23_59_Sentinel_3_SLSTR_S8_(Raw),0.014181981
_UHI_ 6,0.013183462
_MinTemp_ 6,0.012704344
foreign_born,0.012478314
poverty_count,0.012144687
2021_07_24_00_00_2021_07_24_23_59_Sentinel_3_SLSTR_F1_Brightness_Temperature,0.011859043
labor_force,0.011509724
Average_Building_Height_1000m,0.009471354
2021_07_24_00_00_2021_07_24_23_59_Sentinel_3_SLSTR_F2_Brightness_Temperature,0.008232487
housing_units,0.008105683
bachelor_degree,0.008003154
pm2.5_p75_JJA,0.007633383
2021_07_24_00_00_2021_07_24_23_59_Sentinel_3_SLSTR_F2_(Raw),0.0075567057
2021_07_24_00_00_2021_07_24_23_59_Sentinel_3_SLSTR_F1_(Raw),0.007014338
2021_07_24_00_00_2021_07_24_23_59_Sentinel_3_SLSTR_S5_Reflectance_,0.0068231914
under_18,0.005482299
unemployed,0.005330441
population_density,0.0046594064
2021_07_24_00_00_2021_07_24_23_59_Sentinel_3_SLSTR_S7_(Raw),0.0042677848
occupied_units,0.003949666
2021_07_24_00_00_2021_07_24_23_59_Sentinel_3_SLSTR_S2_Reflectance_,0.0033681432
Tallest_Building_400m_HEIGHT,0.0033386273
vehicle_ownership,0.0033201617
black_alone,0.003295197
over_65,0.0031268708
Average_Building_Height_750m,0.0030892962
high_school_grad,0.003002091
Traffic_Volume_Avg,0.0029082191
tower_count_500m,0.0027634401
landuse_commercial_ratio_1000m,0.002701193
Tallest_Building_1000m_HEIGHT,0.0026560032
sum_net_emissions_mtco2e_1000m,0.0025128569
nclimgrid_band4,0.0024959808
tower_count_1000m,0.0024707918
Tallest_Building_750m_HEIGHT,0.0024061874
weighted_water_score,0.002269051
nclimgrid_band2,0.0020395955
nclimgrid_band3,0.002003439
power_density,0.0019811706
2021_07_24_00_00_2021_07_24_23_59_Sentinel_3_SLSTR_S4_(Raw),0.0019650387
landuse_grass_ratio_500m,0.0019264553
tree_avg_diam_1000m,0.0018563641
ped_cycle_count_1000m,0.0017705082
landuse_grass_ratio_1000m,0.0017331926
2021_07_24_00_00_2021_07_24_23_59_Sentinel_3_SLSTR_S7_Brightness_Temperature_,0.001714516
Tallest_Building_300m_HEIGHT,0.0015796444
parks_ratio_1000m,0.0014400198
water_ratio_1000m,0.0014158674
tree_avg_diam_500m,0.0014131741
landuse_residential_ratio_1000m,0.0014114124
median_income,0.0013410678
Income_500m,0.001307748
landuse_grass_ratio_200m,0.0012983923
Income_300m,0.0012468989
Tallest_Building_500m_HEIGHT,0.0012398178
Tallest_Building_200m_HEIGHT,0.0011650616
Width,0.00096078654
transit_count_200m,0.00096054265
transit_count_1000m,0.0009590619
water_ratio_500m,0.00094632246
tree_count_1000m,0.00091790134
tree_count_750m,0.00089370843
parks_ratio_250m,0.00089307
roads_ratio_1000m,0.0008480845
Traffic_Volume_max,0.0008467359
landuse_forest_ratio_1000m,0.0008459913
landuse_residential_ratio_500m,0.0008341482
parking_area_ratio_1000m,0.0008174046
sum_weather_normalized_site_electricity_(kwh)_500m,0.00081199675
Rating_B,0.0007863853
parks_weighted_score,0.00078603165
sum_weather_normalized_site_energy_use_(kbtu)_1000m,0.00078247586
tower_count_200m,0.0007682672
ped_cycle_count_500m,0.00075849786
road_major_ratio_1000m,0.0007519903
tree_avg_diam_750m,0.0007385305
road_major_ratio_100m,0.0007230167
parks_ratio_500m,0.0007002808
tree_count_500m,0.0006959058
sum_weather_normalized_site_electricity_(kwh)_1000m,0.0006697121
road_minor_ratio_200m,0.0006280005
transit_count_500m,0.00058428943
roads_ratio_500m,0.00055150734
road_major_ratio_200m,0.0005357388
sum_net_emissions_mtco2e_500m,0.00050369045
nclimgrid_band1,0.0004998567
Average_Building_Height_500m,0.00049781875
tree_count_300m,0.00046409998
dist_to_water,0.00043745304
building_count_1000m,0.0004235955
parks_ratio_100m,0.00041589074
building_count_500m,0.0004012594
pm2.5_val_21Jul2021,0.0003815111
road_minor_ratio_100m,0.00037270781
roads_ratio_250m,0.0003583328
roads_ratio_100m,0.0003497566
sum_weather_normalized_site_energy_use_(kbtu)_500m,0.0003388011
tree_count_200m,0.00033324808
building_count_400m,0.00032893743
dist_to_park,0.0003289369
tree_avg_diam_300m,0.00030253443
ped_cycle_count_200m,0.00030078177
Average_Building_Height_400m,0.00029965633
building_count_750m,0.0002994829
building_count_300m,0.00029731853
tree_avg_diam_200m,0.0002943341
tree_count_100m,0.00024479002
dist_to_road,0.00012635147
